Timestamp,Size,Source IP,Destination IP,Source Port,Destination Port
1739448546.390189,75,10.0.2.15,128.139.200.12,44340,443
1739448546.390359,75,10.0.2.15,128.139.200.12,44340,443
1739448546.390515,75,10.0.2.15,128.139.200.12,44340,443
1739448546.390669,75,10.0.2.15,128.139.200.12,44340,443
1739448546.39709,75,10.0.2.15,128.139.200.12,44340,443
1739448546.397415,75,10.0.2.15,128.139.200.12,44340,443
1739448546.397581,75,10.0.2.15,128.139.200.12,44340,443
1739448546.398034,75,10.0.2.15,128.139.200.12,44340,443
1739448546.398236,75,10.0.2.15,128.139.200.12,44340,443
1739448546.40151,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.40226,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.403284,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.404088,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.404088,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.405154,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.405154,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.405154,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.405711,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.406641,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.406641,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.40749,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.40749,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.407829,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.408259,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.408638,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.409222,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.410041,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.410041,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.410606,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.412524,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.412524,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.412824,1292,128.139.200.12,10.0.2.15,443,44340
